Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,1,0.7661266090000001,45,2,0.8029821290000001,9120.0,13,0,6,0,2.0
2,0,0.9571510190000001,40,0,0.12187620099999999,2600.0,4,0,0,0,1.0
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0
4,0,0.23380977600000002,30,0,0.036049682,3300.0,5,0,0,0,0.0
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0
6,0,0.21317868199999998,74,0,0.375606969,3500.0,3,0,1,0,1.0
7,0,0.305682465,57,0,5710.0,,8,0,3,0,0.0
8,0,0.754463648,39,0,0.20994001699999998,3500.0,8,0,0,0,0.0
9,0,0.116950644,27,0,46.0,,2,0,0,0,
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0
11,0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0
12,0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0
13,0,0.010351856999999999,46,0,0.298354075,12454.0,13,0,2,0,2.0
14,1,0.964672555,40,3,0.38296474700000005,13700.0,9,3,1,1,2.0
15,0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0
16,0,0.548458062,64,0,0.20989175399999999,11362.0,7,0,1,0,2.0
17,0,0.061086117999999995,78,0,2058.0,,10,0,2,0,0.0
18,0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0
19,0,0.22181277100000002,43,0,0.527887839,3280.0,7,0,1,0,2.0
20,0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0
21,0,0.20092338199999998,43,0,0.430046338,12300.0,10,0,2,0,0.0
22,1,0.025655677,38,0,0.47584138600000003,3000.0,7,0,1,0,2.0
23,0,0.9999998999999999,39,0,0.241103559,2500.0,4,0,0,0,0.0
24,0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0
25,0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0
26,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0
27,0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0
28,0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0
29,0,0.45251582799999995,24,0,0.011761246999999999,3400.0,1,0,0,0,0.0
30,0,0.39299458600000003,58,2,0.436102527,5500.0,15,0,1,0,0.0
31,0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0
32,0,0.9999998999999999,24,0,0.472703063,750.0,1,0,0,0,0.0
33,0,0.083418009,62,0,977.0,,6,0,1,0,0.0
34,0,0.18686855600000002,57,0,0.313812313,7000.0,9,0,2,0,0.0
35,0,0.6933296809999999,42,2,0.257731959,2230.0,7,0,0,0,0.0
36,0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0
37,0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0
38,0,0.9999998999999999,75,1,0.134078212,3400.0,1,0,1,0,1.0
39,0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0
40,0,0.304490668,52,0,0.8083404740000001,3500.0,10,0,2,0,0.0
41,0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0
42,0,0.07289757,81,0,75.0,,7,0,0,0,0.0
43,0,0.46905684200000003,31,0,0.048211004,9250.0,4,0,0,0,1.0
44,0,0.718705378,28,0,0.17012561399999998,3661.0,4,0,0,0,1.0
45,0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0
46,0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0
47,0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0
48,0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0
49,0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0
50,0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0
51,0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0
52,1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0
53,0,0.9999998999999999,62,0,0.0,,1,0,0,0,0.0
54,0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0
55,0,0.9920159679999999,29,0,0.008064515999999999,2231.0,1,0,0,0,0.0
56,0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0
57,0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0
58,0,0.401199782,64,0,0.35125893700000005,3216.0,4,0,1,0,0.0
59,0,0.5411088039999999,43,0,2477.0,,3,0,1,0,2.0
60,0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0
61,0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0
62,0,0.027399502000000003,69,0,0.00803428,5600.0,3,0,0,0,0.0
63,0,0.10115582099999999,72,0,1720.0,,12,0,2,0,0.0
64,0,0.009788861999999999,46,0,1.051397656,3326.0,6,0,2,0,2.0
65,0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0
66,0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0
67,0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0
68,0,0.006799093000000001,27,1,0.6810457520000001,764.0,3,0,0,0,0.0
69,0,0.0042640790000000005,31,0,0.11144427800000001,2000.0,6,1,0,0,2.0
70,0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0
71,0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0
72,0,0.142013011,67,0,1824.0,,7,0,2,0,0.0
73,0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0
74,0,0.059668871,31,0,3162.0,0.0,11,0,2,0,1.0
75,1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0
76,0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0
77,0,0.12229593300000001,29,0,0.694646949,4800.0,5,0,1,0,0.0
78,0,0.46037631700000003,37,0,0.074155949,4975.0,6,0,0,0,0.0
79,0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0
80,0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0
81,0,0.183316667,52,0,0.11113162300000001,10833.0,14,0,2,0,1.0
82,0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0
83,0,0.017258976999999998,53,0,2.604510673,12414.0,13,0,1,0,2.0
84,0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0
85,0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0
86,0,0.0,58,0,0.31614487399999996,4886.0,9,0,1,0,1.0
87,0,0.360509632,58,1,3282.0,,8,0,2,0,0.0
88,0,0.0037496879999999997,64,0,0.004061230999999999,3200.0,5,0,0,1,0.0
89,1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0
90,0,0.08056416799999999,60,0,0.48728899700000006,4916.0,15,0,2,0,0.0
91,0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0
92,0,0.023767432999999998,83,0,0.123797734,10500.0,13,0,0,0,0.0
93,0,0.784835658,52,0,2662.0,,10,0,2,1,0.0
94,0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0
95,0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0
96,0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0
97,0,0.542242704,48,2,10.0,,2,0,0,0,
98,0,0.010531378999999999,57,0,0.280664917,5714.0,6,0,1,0,0.0
99,0,0.363199686,32,0,0.48052395700000006,2900.0,4,0,1,0,0.0
100,0,0.032617977,75,0,0.006799093000000001,7500.0,4,0,0,0,0.0
101,0,0.013024673999999998,61,0,15.0,,4,0,0,0,0.0
102,0,0.019387778999999997,34,0,0.32591852,4000.0,9,0,1,0,0.0
103,0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0
104,0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0
105,0,0.0031088490000000003,57,0,0.258939285,8333.0,7,0,1,0,0.0
106,0,0.11483094099999999,46,0,0.026235802000000003,6250.0,6,0,0,0,3.0
107,0,0.018886792,80,0,0.0034787790000000004,10060.0,5,0,0,0,0.0
108,0,0.6354151570000001,32,0,0.519493502,3000.0,4,0,1,0,1.0
109,0,0.9999998999999999,62,0,0.664221287,8314.0,8,0,3,0,0.0
110,0,0.041257909,61,0,4739.0,,11,0,4,0,
111,0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0
112,0,0.31844615,58,0,1.3826291080000002,3833.0,26,0,4,0,0.0
113,0,0.18698753399999998,52,0,0.023993145,3500.0,4,0,0,0,0.0
114,0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0
115,0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0
116,0,0.00750765,74,0,7.0,,4,0,0,0,0.0
117,0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0
118,0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0
119,0,0.0075205919999999996,68,0,269.0,,4,0,0,0,0.0
120,0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0
121,0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0
122,0,0.31797579600000003,34,0,0.297933792,4500.0,11,0,2,0,0.0
123,0,0.29759464199999996,67,0,0.239507959,4145.0,13,0,0,0,0.0
124,0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0
125,0,0.277956679,39,0,4090.0,,9,0,2,0,0.0
126,0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0
127,0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0
128,0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0
129,0,0.151912549,36,0,0.26639446699999997,12000.0,22,0,2,0,0.0
130,0,0.0,59,0,0.35169962200000005,4500.0,12,0,1,0,0.0
131,0,0.17572759300000002,43,1,994.0,,4,0,1,0,0.0
132,0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0
133,0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0
134,0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0
135,0,0.047311582000000005,51,0,0.10092034300000001,3150.0,5,0,0,0,0.0
136,0,0.083880003,53,0,0.19964753300000002,7943.0,8,0,1,0,0.0
137,0,0.08947834800000001,56,0,1.065901518,2700.0,11,0,1,0,2.0
138,0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0
139,0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0
140,0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0
141,0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0
142,0,0.5765185589999999,72,0,3031.0,,11,0,1,0,0.0
143,0,0.24387202100000002,53,0,0.534027778,8639.0,22,0,2,0,3.0
144,0,0.36248381799999996,27,0,567.0,,4,0,0,0,0.0
145,0,0.116676791,31,0,0.34359379100000004,3800.0,7,0,1,0,0.0
146,0,0.9999998999999999,38,0,0.43369976,5821.0,7,0,1,0,4.0
147,0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0
148,0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0
149,0,0.54699881,50,0,0.7480719790000001,3500.0,9,0,2,0,3.0
150,0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0
151,0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0
152,0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0
153,0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0
154,0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0
155,0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0
156,0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0
157,0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0
158,0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0
159,0,0.147712223,40,0,0.034847816000000004,6800.0,6,0,0,0,3.0
160,0,0.0,63,0,2.0,,4,0,0,0,
